,Run,Model,Dataset,Window,Time,Loss,Accuracy,F1,MCC,Precision,Recall,Epoch
5193,DNABERT1 k6  Splice  Malaria90,DNABERT1_k6,PF_r57_90,90,0.04259166666666667,0.5943188667297363,0.7192399049881235,0.7282014794848134,0.6214042109697852,0.7394438027070812,0.7887567331708345,0.08
5194,DNABERT1 k6  Splice  Malaria90,DNABERT1_k6,PF_r57_90,90,0.08586,0.3633139133453369,0.8688836104513065,0.8689958239229881,0.7924633066314565,0.8661312463439416,0.8743883723029701,0.16
5195,DNABERT1 k6  Splice  Malaria90,DNABERT1_k6,PF_r57_90,90,0.12839333333333333,0.3575097322463989,0.8885985748218528,0.8846348684113444,0.8223045709346894,0.8936609955871057,0.8827480364719689,0.24
5196,DNABERT1 k6  Splice  Malaria90,DNABERT1_k6,PF_r57_90,90,0.17209333333333332,0.2670726478099823,0.9228028503562945,0.9227891283472975,0.8781855459315444,0.9186097306086379,0.9291662905118715,0.32
5197,DNABERT1 k6  Splice  Malaria90,DNABERT1_k6,PF_r57_90,90,0.21475,0.5211227536201477,0.8876484560570072,0.8902921134168992,0.8368057594185144,0.87839222183764,0.919806054587584,0.4
5198,DNABERT1 k6  Splice  Malaria90,DNABERT1_k6,PF_r57_90,90,0.25826333333333334,0.4813278913497925,0.8859857482185273,0.8884672206100778,0.836829083365789,0.8752436799131122,0.9224255965815052,0.48
5199,DNABERT1 k6  Splice  Malaria90,DNABERT1_k6,PF_r57_90,90,0.30088,0.20574405789375305,0.9453681710213777,0.9457166470881591,0.916114255127566,0.9355440681525126,0.959631067376847,0.56
5200,DNABERT1 k6  Splice  Malaria90,DNABERT1_k6,PF_r57_90,90,0.34407999999999994,0.2761455476284027,0.9389548693586698,0.9396690786067792,0.9073259873845952,0.9281551379053394,0.9565180102915952,0.64
5201,DNABERT1 k6  Splice  Malaria90,DNABERT1_k6,PF_r57_90,90,0.3876016666666666,0.15991738438606262,0.9596199524940617,0.959757881615793,0.9372970364170619,0.9513823465426091,0.9701972555746141,0.72
5202,DNABERT1 k6  Splice  Malaria90,DNABERT1_k6,PF_r57_90,90,0.4301166666666666,0.16835680603981018,0.9577197149643706,0.957813865793001,0.9343581343968607,0.9493240332498271,0.9684541542535584,0.8
5203,DNABERT1 k6  Splice  Malaria90,DNABERT1_k6,PF_r57_90,90,0.4728316666666666,0.14637932181358337,0.9665083135391924,0.966185410214443,0.9465602715900477,0.9634759272055223,0.9690958743342061,0.88
5204,DNABERT1 k6  Splice  Malaria90,DNABERT1_k6,PF_r57_90,90,0.5162416666666666,0.1299373060464859,0.9657957244655582,0.9655502129736876,0.9455091348349209,0.962237606267479,0.969109415906834,0.96
5205,DNABERT1 k6  Splice  Malaria90,DNABERT1_k6,PF_r57_90,90,0.55885,0.20929430425167084,0.9534441805225653,0.953474801325627,0.9274787991408011,0.9453351060130305,0.9636830068309711,1.04
5206,DNABERT1 k6  Splice  Malaria90,DNABERT1_k6,PF_r57_90,90,0.6016516666666667,0.16956214606761932,0.9634204275534441,0.9633703522903291,0.9423036578485147,0.9576539817427733,0.9699632872919864,1.12
5207,DNABERT1 k6  Splice  Malaria90,DNABERT1_k6,PF_r57_90,90,0.6444333333333333,0.20422786474227905,0.9596199524940617,0.9592371347534314,0.9367471619987119,0.9525831883279436,0.9674475640215462,1.21
5208,DNABERT1 k6  Splice  Malaria90,DNABERT1_k6,PF_r57_90,90,0.6868866666666666,0.1685018539428711,0.9641330166270784,0.9640598126895439,0.9438565748776047,0.9568818700046258,0.9725376907104811,1.29
5209,DNABERT1 k6  Splice  Malaria90,DNABERT1_k6,PF_r57_90,90,0.732185,0.15470664203166962,0.966270783847981,0.9660464593622393,0.946893103620344,0.9600139881568257,0.9729823056784328,1.37
5210,DNABERT1 k6  Splice  Malaria90,DNABERT1_k6,PF_r57_90,90,0.7744983333333334,0.17395246028900146,0.9660332541567695,0.9659675027869152,0.9465911749136173,0.9595921458620486,0.9733103126598658,1.45
5211,DNABERT1 k6  Splice  Malaria90,DNABERT1_k6,PF_r57_90,90,0.81679,0.13670581579208374,0.9703087885985748,0.9700149573244817,0.9523874466683776,0.9695556427864939,0.97047937167103,1.53
5212,DNABERT1 k6  Splice  Malaria90,DNABERT1_k6,PF_r57_90,90,0.8596816666666668,0.1858190894126892,0.96270783847981,0.9628377128466812,0.9417116525108611,0.9562532201835738,0.9711090547982306,1.61
5213,DNABERT1 k6  Splice  Malaria90,DNABERT1_k6,PF_r57_90,90,0.9050400000000001,0.19633547961711884,0.9598574821852731,0.959951668796188,0.9376614898424807,0.9518173778858138,0.9701927417170714,1.69
5214,DNABERT1 k6  Splice  Malaria90,DNABERT1_k6,PF_r57_90,90,0.9481366666666667,0.15424351394176483,0.9617577197149644,0.9617356787079316,0.9404265257919328,0.9537269921998462,0.9714506033522915,1.77
