,Run,Model,Dataset,Window,Time,Loss,Accuracy,F1,MCC,Precision,Recall,Epoch
873,DNABERT1 k6  Splice  GENCODE400,DNABERT1_k6,GENCODE400,400,0.11349833333333333,0.6679748892784119,0.6858695652173913,0.6045624467367502,0.5041698767057077,0.7151386642752929,0.6299632366669902,0.08
874,DNABERT1 k6  Splice  GENCODE400,DNABERT1_k6,GENCODE400,400,0.22781166666666666,0.29082193970680237,0.8917270531400966,0.8890233023583355,0.8310787761865616,0.8836214438842477,0.8980995342190887,0.17
875,DNABERT1 k6  Splice  GENCODE400,DNABERT1_k6,GENCODE400,400,0.3412733333333333,0.20010638236999512,0.9310990338164251,0.9295227210361204,0.8913282570251441,0.9243513547022758,0.9354124189986831,0.25
876,DNABERT1 k6  Splice  GENCODE400,DNABERT1_k6,GENCODE400,400,0.4553283333333333,0.17494148015975952,0.941243961352657,0.9398375972265715,0.906833390663408,0.9368221846351433,0.9432078233019908,0.34
877,DNABERT1 k6  Splice  GENCODE400,DNABERT1_k6,GENCODE400,400,0.56912,0.15735530853271484,0.9455917874396135,0.9439284574884524,0.913560348522674,0.9415587468995056,0.9464810949212206,0.42
878,DNABERT1 k6  Splice  GENCODE400,DNABERT1_k6,GENCODE400,400,0.68454,0.1797550916671753,0.942512077294686,0.9413545748704245,0.9092794623560183,0.936898168621704,0.9465438763875715,0.5
879,DNABERT1 k6  Splice  GENCODE400,DNABERT1_k6,GENCODE400,400,0.7989983333333334,0.1550598293542862,0.951207729468599,0.9497179480343177,0.9222788210617443,0.9503553506759864,0.9495800254424421,0.59
880,DNABERT1 k6  Splice  GENCODE400,DNABERT1_k6,GENCODE400,400,0.9138966666666667,0.17376743257045746,0.9451086956521739,0.9438904428702551,0.9131589354309437,0.9402735772147265,0.9480500870071772,0.67
881,DNABERT1 k6  Splice  GENCODE400,DNABERT1_k6,GENCODE400,400,1.0284216666666668,0.14305686950683594,0.9544685990338164,0.9534013425348421,0.92733331600155,0.9535889878546745,0.9532281187529718,0.76
882,DNABERT1 k6  Splice  GENCODE400,DNABERT1_k6,GENCODE400,400,1.1432466666666667,0.13253669440746307,0.9568840579710145,0.9557485595184358,0.9312421654019178,0.9556792121951703,0.9559143408739553,0.84
883,DNABERT1 k6  Splice  GENCODE400,DNABERT1_k6,GENCODE400,400,1.2584083333333334,0.1481267809867859,0.9565821256038647,0.9552149218241851,0.930794614671776,0.9552902242487734,0.9553566983079033,0.92
884,DNABERT1 k6  Splice  GENCODE400,DNABERT1_k6,GENCODE400,400,1.3734650000000002,0.12893688678741455,0.9577294685990339,0.9562675184743116,0.9324862656142322,0.9580661226138131,0.9546674247120298,1.01
885,DNABERT1 k6  Splice  GENCODE400,DNABERT1_k6,GENCODE400,400,1.4889966666666667,0.14262956380844116,0.9567028985507247,0.9550063470381605,0.9311856352303716,0.9533403353922948,0.9569365818502282,1.09
886,DNABERT1 k6  Splice  GENCODE400,DNABERT1_k6,GENCODE400,400,1.6040783333333335,0.14094260334968567,0.9540458937198067,0.9524203255680487,0.9271804285935653,0.9502800013181417,0.955192626297328,1.18
887,DNABERT1 k6  Splice  GENCODE400,DNABERT1_k6,GENCODE400,400,1.7196483333333334,0.18589234352111816,0.9434782608695652,0.9425663784056351,0.9118677644613483,0.9357395614915892,0.9512549758396379,1.26
